board	similarity
NUK_TALK	1.0
CCU_talk	0.456625744665
YZU_Talk	0.432763861582
NCCU	0.224868120036
NSYSU	0.199952258384
NCHUS	0.126949871473
NCU_Talk	0.118178117414
